asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Level,adm_int,feature_id,iso,gqid
115,399.910702295,400.417367554,399.462822166,403.429352117,403.931597484,403.234131737,406.422091529,406.542860332,406.22351888,402.259835639,403.125640869,402.022705078,ADM2,BDI_ADM2_1_3_3_115,ADM2,2,115,BDI,115
116,399.877499385,400.493927002,399.171160698,403.263780631,404.372955322,403.127010091,406.714943409,407.396246338,406.052663167,402.147218736,402.645926736,401.982532702,ADM2,BDI_ADM2_1_3_3_116,ADM2,2,116,BDI,116
117,399.603893749,400.376031824,399.01496209,403.711804647,404.277469231,403.335185704,406.335333466,406.524091218,406.159627412,402.198504686,402.846078491,401.267814304,ADM2,BDI_ADM2_1_3_3_117,ADM2,2,117,BDI,117
118,399.267838239,399.364489299,399.172540928,404.818416749,405.1810309,404.463617256,407.548871789,407.826792399,406.950334231,403.95174617,404.00618248,403.908610501,ADM2,BDI_ADM2_1_3_3_118,ADM2,2,118,BDI,118
119,400.366969901,400.493927002,399.958725388,403.258472234,403.308156408,403.217583249,406.499397252,406.580398559,406.401958719,402.349177491,402.570281982,402.213636126,ADM2,BDI_ADM2_1_3_3_119,ADM2,2,119,BDI,119
120,400.079540021,400.415330217,399.384225381,403.422729335,403.874161044,403.301501048,406.457443527,406.542860332,406.29362809,402.403818553,403.125640869,400.851853638,ADM2,BDI_ADM2_1_3_3_120,ADM2,2,120,BDI,120
121,399.205646844,399.32132938,399.116887286,404.52156144,405.001645758,404.015217864,407.237164268,407.797723135,406.42633311,403.973359192,404.203639221,403.88273553,ADM2,BDI_ADM2_1_3_3_121,ADM2,2,121,BDI,121
122,400.204044229,400.454628609,399.65568712,403.437030962,403.728752501,403.267816393,406.479160297,406.561629445,406.261895679,402.338428224,403.125640869,400.600585938,ADM2,BDI_ADM2_1_3_3_122,ADM2,2,122,BDI,122
123,399.741887232,400.493927002,399.308258056,403.518871673,403.944402059,403.127010091,406.50625825,406.672947693,406.101335798,402.091491786,402.276407342,401.982532702,ADM2,BDI_ADM2_1_3_3_123,ADM2,2,123,BDI,123
124,399.766447787,400.493927002,399.483174642,403.710015378,404.321033945,403.217583249,406.269674749,406.580398559,406.101335798,402.104301508,402.570281982,401.893831693,ADM2,BDI_ADM2_1_3_3_124,ADM2,2,124,BDI,124
125,399.928488778,400.415330217,399.741943359,403.805546394,404.291179773,403.398729566,406.400579439,406.542860332,406.34217562,401.465640268,403.125640869,400.851853638,ADM2,BDI_ADM2_1_3_3_125,ADM2,2,125,BDI,125
126,399.72971095,400.454628609,399.569430881,404.185342996,404.830702126,403.308156408,406.314868242,406.561629445,406.181615739,401.329607832,403.125640869,400.600585938,ADM2,BDI_ADM2_1_3_3_126,ADM2,2,126,BDI,126
127,399.584261083,399.864980062,399.308258056,404.273737082,404.840653517,403.768467153,406.342155424,406.551004028,406.101335798,402.197678315,402.288818359,401.893831693,ADM2,BDI_ADM2_1_3_3_127,ADM2,2,127,BDI,127
128,399.915861857,400.376031824,399.741943359,404.261360648,404.810799346,403.489302725,406.414137556,406.524091218,406.34217562,401.37671076,402.846078491,400.851853638,ADM2,BDI_ADM2_1_3_3_128,ADM2,2,128,BDI,128
