asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Level,adm_int,feature_id,iso,gqid
26,398.921224798,399.024619039,398.77577063,406.549605668,406.882886474,406.25604449,406.670510728,406.778822679,406.44679006,403.479699136,403.559179133,402.265745714,ADM2,BDI_ADM2_1_3_3_26,ADM2,2,26,BDI,26
27,399.104823273,399.173385128,398.942704111,405.220380868,405.433115641,404.906799316,407.224549129,407.393953959,407.095330878,400.567640238,400.959541152,399.700663249,ADM2,BDI_ADM2_1_3_3_27,ADM2,2,27,BDI,27
28,399.097374396,399.173385128,399.00904421,405.505679895,405.862294515,405.003936767,407.078536243,407.272092379,406.918569376,401.01461923,402.218419054,400.358852811,ADM2,BDI_ADM2_1_3_3_28,ADM2,2,28,BDI,28
29,399.964330026,400.633783977,399.414642334,403.060373896,403.42443996,402.547402276,405.443915552,405.649307376,405.127063987,401.744359621,403.030907767,401.45401001,ADM2,BDI_ADM2_1_3_3_29,ADM2,2,29,BDI,29
30,399.106751738,399.34941286,398.46913147,404.829951567,405.003936767,404.192066866,407.146285821,407.393953959,406.091178894,400.474372517,402.217113992,399.700663249,ADM2,BDI_ADM2_1_3_3_30,ADM2,2,30,BDI,30
31,398.815705581,398.939578843,398.762387561,406.847692553,407.064927531,406.69738973,406.582457838,406.736211245,406.448108419,403.511001316,403.565564705,403.060968696,ADM2,BDI_ADM2_1_3_3_31,ADM2,2,31,BDI,31
32,398.910062621,399.00904421,398.824718723,406.376726755,406.7639739,405.862294515,406.732673238,406.918569376,406.610663859,402.615288703,403.524623617,401.380815973,ADM2,BDI_ADM2_1_3_3_32,ADM2,2,32,BDI,32
33,398.812411467,399.007674859,398.7578839,406.790537026,407.246968587,406.572171246,406.438695871,406.606357592,406.41285362,403.563933197,403.879672581,403.470435588,ADM2,BDI_ADM2_1_3_3_33,ADM2,2,33,BDI,33
34,399.065197223,399.699491613,398.46913147,404.399428131,404.906799316,403.177145822,406.355945754,407.393953959,405.651678467,401.869357627,402.618557579,399.700663249,ADM2,BDI_ADM2_1_3_3_34,ADM2,2,34,BDI,34
35,398.820003595,399.007674859,398.7578839,407.049937808,407.246968587,406.572171246,406.542372842,406.606357592,406.41285362,403.583236472,403.879672581,403.470435588,ADM2,BDI_ADM2_1_3_3_35,ADM2,2,35,BDI,35
36,400.355089122,400.740112305,399.699491613,402.942079753,404.160321917,402.370686002,405.604010198,405.716695233,405.531754983,402.504724147,403.030907767,401.852485426,ADM2,BDI_ADM2_1_3_3_36,ADM2,2,36,BDI,36
37,399.001356685,399.105468608,398.912619812,405.764716811,406.305913934,405.048653157,406.907557443,407.095330878,406.741807875,401.623863014,402.549987115,400.869834392,ADM2,BDI_ADM2_1_3_3_37,ADM2,2,37,BDI,37
38,399.007674859,399.007674859,399.007674859,406.572171246,406.572171246,406.572171246,406.47650394,406.47650394,406.47650394,403.879672581,403.879672581,403.879672581,ADM2,BDI_ADM2_1_3_3_38,ADM2,2,38,BDI,38
39,399.205463104,400.5607112,398.46913147,403.214126106,404.559092204,402.193969727,405.827432689,406.410741633,405.531754983,402.410169672,403.030907767,401.50468287,ADM2,BDI_ADM2_1_3_3_39,ADM2,2,39,BDI,39
40,399.075804804,399.257465818,399.007674859,406.533245809,406.572171246,406.429455406,406.493864427,406.54015426,406.47650394,403.996245532,404.307074505,403.879672581,ADM2,BDI_ADM2_1_3_3_40,ADM2,2,40,BDI,40
41,399.054514611,399.257465818,399.007674859,406.545409771,406.572171246,406.429455406,406.48843938,406.54015426,406.47650394,403.959817194,404.307074505,403.879672581,ADM2,BDI_ADM2_1_3_3_41,ADM2,2,41,BDI,41
42,398.972071664,399.22341781,398.762387561,407.117745152,407.246968587,406.69738973,406.623522033,406.736211245,406.542707272,403.572950774,404.279937744,403.060968696,ADM2,BDI_ADM2_1_3_3_42,ADM2,2,42,BDI,42
43,399.031027839,399.257465818,398.973626851,406.981005627,407.246968587,406.429455406,406.57942581,406.670007913,406.47650394,403.79177233,404.307074505,403.571950277,ADM2,BDI_ADM2_1_3_3_43,ADM2,2,43,BDI,43
44,399.253024774,399.257465818,399.22341781,406.488857626,406.884872437,406.429455406,406.557091692,406.670007913,406.54015426,404.303534928,404.307074505,404.279937744,ADM2,BDI_ADM2_1_3_3_44,ADM2,2,44,BDI,44
45,399.257465818,399.257465818,399.257465818,406.429455406,406.429455406,406.429455406,406.54015426,406.54015426,406.54015426,404.307074505,404.307074505,404.307074505,ADM2,BDI_ADM2_1_3_3_45,ADM2,2,45,BDI,45
46,399.038243272,399.105468608,398.987137832,405.256079611,405.598232015,404.87865092,406.996050965,407.095330878,406.881554573,401.723992817,402.196173096,400.869834392,ADM2,BDI_ADM2_1_3_3_46,ADM2,2,46,BDI,46
47,399.257465818,399.257465818,399.257465818,406.429455406,406.429455406,406.429455406,406.54015426,406.54015426,406.54015426,404.307074505,404.307074505,404.307074505,ADM2,BDI_ADM2_1_3_3_47,ADM2,2,47,BDI,47
48,399.257465818,399.257465818,399.257465818,406.429455406,406.429455406,406.429455406,406.54015426,406.54015426,406.54015426,404.307074505,404.307074505,404.307074505,ADM2,BDI_ADM2_1_3_3_48,ADM2,2,48,BDI,48
49,398.96264577,399.34941286,397.908416748,404.55913933,405.433115641,403.655067444,406.79682485,407.272092379,406.091178894,401.342276771,402.196173096,400.358852811,ADM2,BDI_ADM2_1_3_3_49,ADM2,2,49,BDI,49
50,398.974922432,399.189369802,398.824718723,406.226144826,406.7639739,405.598232015,406.787947671,406.929715217,406.610663859,402.707035302,403.758996582,401.380815973,ADM2,BDI_ADM2_1_3_3_50,ADM2,2,50,BDI,50
51,400.422159205,400.740112305,398.586334228,402.477110453,403.177145822,402.193969727,405.717136446,405.971324921,405.646936284,401.996805739,403.050750732,401.613793373,ADM2,BDI_ADM2_1_3_3_51,ADM2,2,51,BDI,51
52,399.257465818,399.257465818,399.257465818,406.429455406,406.429455406,406.429455406,406.54015426,406.54015426,406.54015426,404.307074505,404.307074505,404.307074505,ADM2,BDI_ADM2_1_3_3_52,ADM2,2,52,BDI,52
53,398.995484593,399.189369802,398.824718723,406.644988724,407.246968587,406.431340536,406.74438972,406.799861565,406.606357592,403.255228684,403.758996582,403.060968696,ADM2,BDI_ADM2_1_3_3_53,ADM2,2,53,BDI,53
54,399.253209818,399.257465818,399.22341781,406.486382534,406.884872437,406.429455406,406.556385966,406.670007913,406.54015426,404.30368241,404.307074505,404.279937744,ADM2,BDI_ADM2_1_3_3_54,ADM2,2,54,BDI,54
55,399.246116482,399.257465818,399.22341781,406.581261083,406.884872437,406.429455406,406.583438811,406.670007913,406.54015426,404.298028918,404.307074505,404.279937744,ADM2,BDI_ADM2_1_3_3_55,ADM2,2,55,BDI,55
56,399.257465818,399.257465818,399.257465818,406.429455406,406.429455406,406.429455406,406.54015426,406.54015426,406.54015426,404.307074505,404.307074505,404.307074505,ADM2,BDI_ADM2_1_3_3_56,ADM2,2,56,BDI,56
57,400.402028938,400.633783977,400.014746772,402.935239662,403.535672336,402.547402276,405.549646003,405.646936284,405.437659439,401.897572783,402.207690594,401.45401001,ADM2,BDI_ADM2_1_3_3_57,ADM2,2,57,BDI,57
58,399.243846615,399.257465818,399.22341781,406.611622216,406.884872437,406.429455406,406.59209572,406.670007913,406.54015426,404.296219801,404.307074505,404.279937744,ADM2,BDI_ADM2_1_3_3_58,ADM2,2,58,BDI,58
59,399.223089788,399.257465818,398.569945199,406.406684555,406.429455406,405.974038375,406.533661577,406.54015426,406.410300608,404.308431343,404.334211266,404.307074505,ADM2,BDI_ADM2_1_3_3_59,ADM2,2,59,BDI,59
60,399.051112947,399.371064745,398.924806669,405.486568063,406.147810872,404.87865092,406.915063351,407.12321919,406.7732193,402.427621338,404.177524185,401.528023953,ADM2,BDI_ADM2_1_3_3_60,ADM2,2,60,BDI,60
61,399.187920298,399.473208769,398.939578843,406.777595326,407.246968587,406.431340536,406.702050772,406.799861565,406.606357592,404.035288074,404.279937744,403.060968696,ADM2,BDI_ADM2_1_3_3_61,ADM2,2,61,BDI,61
62,399.128246137,399.371064745,399.087225778,404.739128496,405.428229777,404.513920711,406.996765211,407.12321919,406.904803861,402.34332391,404.177524185,401.675231934,ADM2,BDI_ADM2_1_3_3_62,ADM2,2,62,BDI,62
63,399.182082287,399.405112753,398.924806669,405.840721008,406.147810872,405.14651413,406.934900991,407.12321919,406.7732193,403.41774363,404.698465347,402.549987115,ADM2,BDI_ADM2_1_3_3_63,ADM2,2,63,BDI,63
64,398.850329054,399.473208769,398.569945199,406.307974976,406.884872437,405.974038375,406.535642695,406.733658233,406.410300608,404.266131949,404.334211266,404.200442107,ADM2,BDI_ADM2_1_3_3_64,ADM2,2,64,BDI,64
65,399.210491068,399.405112753,399.117296007,405.349720713,405.977808635,404.708648682,407.002922147,407.12321919,406.929715217,403.282060498,404.698465347,402.717114258,ADM2,BDI_ADM2_1_3_3_65,ADM2,2,65,BDI,65
66,399.366665173,399.473208769,399.189369802,406.547934248,406.884872437,406.117692948,406.749133028,406.863511885,406.670007913,404.08533918,404.279937744,403.677383423,ADM2,BDI_ADM2_1_3_3_66,ADM2,2,66,BDI,66
67,399.752065357,400.740112305,397.908416748,402.714458468,404.355995687,402.193969727,405.89599002,406.165158081,405.714324141,402.076049349,403.050750732,401.426414721,ADM2,BDI_ADM2_1_3_3_67,ADM2,2,67,BDI,67
68,399.306312369,399.439160761,399.155321794,406.068716415,406.431340536,405.584379578,406.88479665,406.993365538,406.799861565,403.861937702,404.698465347,403.23805542,ADM2,BDI_ADM2_1_3_3_68,ADM2,2,68,BDI,68
69,400.29556131,400.417433121,400.125316443,403.290828841,403.535672336,402.991726346,405.653929975,405.810142517,405.505047296,402.116165457,402.207690594,401.983167464,ADM2,BDI_ADM2_1_3_3_69,ADM2,2,69,BDI,69
