asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Name,Level,adm_int,feature_id,iso,ISO_Code,gqid
93,399.39208566,399.995616913,399.032492455,405.526034144,406.826922946,403.827761332,404.188701587,405.455898031,403.539198812,402.289250449,402.70879584,401.457296407,ADM2,UGA_ADM2_1_3_3_93,SEMBABULE,ADM2,2,93,UGA,UG-111,93
94,399.223058322,400.37739563,397.557832082,404.144396506,405.259670512,402.655122359,405.284088428,406.154419344,404.465917358,402.868376968,403.505391189,402.163758341,ADM2,UGA_ADM2_1_3_3_94,RAKAI,ADM2,2,94,UGA,UG-110,94
95,400.595652029,401.227050781,400.095105489,405.78958842,406.752484073,405.114564921,405.607991586,406.204151154,404.29290084,401.339170832,402.858191857,400.149663289,ADM2,UGA_ADM2_1_3_3_95,MITYANA,ADM2,2,95,UGA,UG-115,95
96,401.294611389,402.751327927,400.40748081,405.93417747,406.543531436,404.791724311,406.809563713,407.235668514,404.680959422,403.417978661,403.625736967,402.552247679,ADM2,UGA_ADM2_1_3_3_96,LUWERO,ADM2,2,96,UGA,UG-104,96
97,401.469753908,403.561960409,398.843772343,405.270766523,405.930866932,403.821124472,406.675766889,407.733403986,405.389352686,403.189366904,403.742257407,401.935994466,ADM2,UGA_ADM2_1_3_3_97,MUKONO,ADM2,2,97,UGA,UG-108,97
98,402.941853979,404.048095703,401.137746538,405.450906072,405.679159413,405.302688046,405.441770421,406.053256695,405.0437887,402.71986982,403.465574461,402.33613487,ADM2,UGA_ADM2_1_3_3_98,KAMPALA,ADM2,2,98,UGA,UG-102,98
99,399.928952391,400.645148644,399.442847757,404.787944992,406.073363836,403.62896281,406.561863936,407.503149123,405.603799003,403.493561328,405.005584717,400.933793501,ADM2,UGA_ADM2_1_3_3_99,BUVUMA,ADM2,2,99,UGA,UG-120,99
100,400.42883919,401.43841209,399.127522004,405.243000634,406.060566295,404.9925059,407.618542668,407.805328369,407.304736462,403.701599388,403.934632228,403.583515368,ADM2,UGA_ADM2_1_3_3_100,JINJA,ADM2,2,100,UGA,UG-204,100
101,399.468746379,400.437439405,398.635586825,405.45197902,406.857452393,404.509163597,407.131710543,408.088500977,404.632287598,402.395273251,403.460666054,401.274570041,ADM2,UGA_ADM2_1_3_3_101,NAMAYINGO,ADM2,2,101,UGA,UG-230,101
102,400.887318267,403.18786621,398.635586825,404.777000197,404.865436901,404.509163597,407.455131776,408.088500977,406.883231099,401.74283454,402.663221995,401.274570041,ADM2,UGA_ADM2_1_3_3_102,BUSIA,ADM2,2,102,UGA,UG-202,102
103,399.510077658,399.97594738,399.212946756,405.520255817,406.41104699,405.051327619,407.186050928,407.635689036,406.910050455,401.518937359,407.682128906,400.8828125,ADM2,UGA_ADM2_1_3_3_103,BUDUDA,ADM2,2,103,UGA,UG-218,103
104,399.693015415,401.3028987,399.00238592,404.959721351,405.699090825,404.845013649,406.844649001,407.20315644,406.623583984,401.97837279,402.454895019,400.978027344,ADM2,UGA_ADM2_1_3_3_104,TORORO,ADM2,2,104,UGA,UG-212,104
105,400.234952338,400.915903727,399.382446289,405.395046091,406.4373509,404.523590088,407.08327865,407.716255637,406.623583984,402.247166254,403.265662977,400.978027344,ADM2,UGA_ADM2_1_3_3_105,BUTALEJA,ADM2,2,105,UGA,UG-221,105
106,399.263934823,400.355757395,398.090515137,406.057068435,407.404161726,404.637597402,407.531125401,407.999509975,407.229685466,402.389708568,404.24710083,401.665929158,ADM2,UGA_ADM2_1_3_3_106,BUKEDEA,ADM2,2,106,UGA,UG-219,106
107,399.286445183,400.239890136,398.090515137,404.735576948,406.476348877,402.626516647,407.478343101,407.958521525,407.134520354,402.170569515,404.24710083,401.248962402,ADM2,UGA_ADM2_1_3_3_107,KUMI,ADM2,2,107,UGA,UG-208,107
108,399.853477506,402.684692383,398.784583307,404.387668514,407.763183594,399.720306396,408.144225605,410.727294921,406.30754598,402.829846615,404.266677856,401.849563598,ADM2,UGA_ADM2_1_3_3_108,PALLISA,ADM2,2,108,UGA,UG-210,108
109,400.112533187,400.791671753,398.201479398,404.883531242,405.647317796,403.412298584,408.090301012,408.431594849,407.635814135,403.021660663,403.490081787,402.203964233,ADM2,UGA_ADM2_1_3_3_109,KIBUKU,ADM2,2,109,UGA,UG-227,109
110,398.665239109,400.077438817,397.069417318,405.966811423,408.247969194,402.66671317,407.182748906,408.289627075,404.884033203,404.198574858,405.652030945,403.010892334,ADM2,UGA_ADM2_1_3_3_110,KABERAMAIDO,ADM2,2,110,UGA,UG-213,110
111,398.676508675,400.703590393,396.512908936,403.92679683,406.652648926,401.885326567,408.318172087,410.154422336,405.06560262,402.892646615,404.848175049,401.004203695,ADM2,UGA_ADM2_1_3_3_111,AGAGO,ADM2,2,111,UGA,UG-322,111
112,399.203051001,402.443566217,398.31607888,404.909882342,406.123915061,403.609461004,405.893363737,406.569573975,404.570396423,402.718328276,403.770507159,400.481994629,ADM2,UGA_ADM2_1_3_3_112,KAGADI,ADM2,2,112,UGA,,112
113,399.356807637,399.992405924,398.887075515,406.233521811,406.50352139,405.179129963,405.823510436,406.229829823,405.54119873,402.339980081,402.76055888,401.477538146,ADM2,UGA_ADM2_1_3_3_113,KIBAALE,ADM2,2,113,UGA,UG-407,113
114,403.044457613,404.296020508,399.875773112,405.697224408,406.475785573,404.985601252,408.026623126,409.273376465,406.397581312,406.168420145,408.1456604,403.208863576,ADM2,UGA_ADM2_1_3_3_114,GULU,ADM2,2,114,UGA,UG-304,114
115,399.224801181,399.747440137,398.896554746,404.40182237,405.290059743,403.979404273,406.935837617,408.04989624,405.878849575,404.176327569,405.38696696,403.089470334,ADM2,UGA_ADM2_1_3_3_115,RUBANDA,ADM2,2,115,UGA,,115
